example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true,query_only
0,James Bridges is the producer of A Son of Satan.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,[0.49609375],[0.4375],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,True
1,James Bridges is the producer of A Son of Satan.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",YesYesYesYesYesYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.57421875],[0.39453125],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,True
2,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.49609375],[0.4375],context,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,True
3,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.57421875],[0.39453125],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,True
4,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.49609375],[0.4375],context,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,True
5,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoYesYes,[0.57421875],[0.39453125],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,True
6,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYes,[0.49609375],[0.4375],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,True
7,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",YesYesYesYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.57421875],[0.39453125],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,True
8,Say the producer of A Son of Satan is James Bridges.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoYesNo,[0.49609375],[0.4375],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,True
9,Say the producer of A Son of Satan is James Bridges.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",YesNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoNoYesNoYesNoYesNoYesNoYesNoYesNoYesNoYes,[0.57421875],[0.39453125],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,True
