subj,prop,id,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,obj_length,subj_length
Sonnet 109,author,2649005,William Shakespeare,1141555,484,2310487,"[""Sonnets. 109""]","[""Shakespeare"",""The Bard"",""The Bard of Avon"",""William Shakspere"",""Swan of Avon"",""Bard of Avon"",""Shakespere"",""Shakespear"",""Shakspeare"",""Shackspeare"",""William Shake\u2010\u017fpeare""]",http://www.wikidata.org/entity/Q3490513,http://www.wikidata.org/entity/Q692,Sonnet 109,William Shakespeare,355,439673,Who is the author of Sonnet 109?,"[""William Shakespeare"", ""Shakespeare"", ""The Bard"", ""The Bard of Avon"", ""William Shakspere"", ""Swan of Avon"", ""Bard of Avon"", ""Shakespere"", ""Shakespear"", ""Shakspeare"", ""Shackspeare"", ""William Shake‐ſpeare""]",19,10
Let's Not,author,1000986,Isaac Asimov,427743,484,1144266,[],"[""Isaak Osimov"",""Paul French"",""Asimov"",""Isaak Ozimov""]",http://www.wikidata.org/entity/Q16386665,http://www.wikidata.org/entity/Q34981,Let's Not,Isaac Asimov,85,266562,Who is the author of Let's Not?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",12,9
A Boy and His Dog,author,1161343,Harlan Ellison,514333,484,1026086,[],"[""Harlan Jay Ellison""]",http://www.wikidata.org/entity/Q17049896,http://www.wikidata.org/entity/Q311253,A Boy and His Dog,Harlan Ellison,6601,28055,Who is the author of A Boy and His Dog?,"[""Harlan Ellison"", ""Harlan Jay Ellison""]",14,17
Disclosure,author,155638,Michael Crichton,62758,484,534524,[],"[""John Michael Crichton"",""Michael Douglas"",""Jeffery Hudson"",""John Lange""]",http://www.wikidata.org/entity/Q11026841,http://www.wikidata.org/entity/Q172140,Disclosure (novel),Michael Crichton,2873,77167,Who is the author of Disclosure?,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange""]",16,10
Black Orchids,author,682254,Rex Stout,288415,484,1107103,[],"[""Rex Todhunter Stout""]",http://www.wikidata.org/entity/Q15091297,http://www.wikidata.org/entity/Q337351,Black Orchids (novella),Rex Stout,147,4213,Who is the author of Black Orchids?,"[""Rex Stout"", ""Rex Todhunter Stout""]",9,13
Evil Under the Sun,author,5679572,Agatha Christie,2532390,484,1147335,[],"[""Agatha Mary Clarissa Christie"",""Agatha Mary Clarissa Miller"",""Mary Westmacott"",""Agatha Mary Clarissa Mallowan""]",http://www.wikidata.org/entity/Q741033,http://www.wikidata.org/entity/Q35064,Evil Under the Sun,Agatha Christie,4021,156360,Who is the author of Evil Under the Sun?,"[""Agatha Christie"", ""Agatha Mary Clarissa Christie"", ""Agatha Mary Clarissa Miller"", ""Mary Westmacott"", ""Agatha Mary Clarissa Mallowan""]",15,18
The Fruits of Enlightenment,author,5927379,Leo Tolstoy,2658630,484,2442477,[],"[""Tolstoi"",""Tolstoy"",""Lev Nikolaevich, graf Tolsto\u012d"",""Lev Nikolayevich, Count Tolstoy"",""Count Lev Tolstoy"",""Leo, graf Tolstoy"",""Lev, Count Tolstoy"",""Lev, graf Tolsztoj"",""\u041b\u0435\u0432 \u041d\u0438\u043a\u043e\u043b\u0430\u0435\u0432\u0438\u0447,"",""c \u0433\u0440\u0430\u0444 \u0422\u043e\u043b\u0441\u0442\u043e\u0439"",""Lew, graf Tolstoi"",""Lev Nikolaevich Tolstoy"",""Lev Tolstoy"",""Count Leo Tolstoy""]",http://www.wikidata.org/entity/Q7735394,http://www.wikidata.org/entity/Q7243,The Fruits of Enlightenment,Leo Tolstoy,240,132219,Who is the author of The Fruits of Enlightenment?,"[""Leo Tolstoy"", ""Tolstoi"", ""Tolstoy"", ""Lev Nikolaevich, graf Tolstoĭ"", ""Lev Nikolayevich, Count Tolstoy"", ""Count Lev Tolstoy"", ""Leo, graf Tolstoy"", ""Lev, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Лев Николаевич,"", ""c граф Толстой"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich Tolstoy"", ""Lev Tolstoy"", ""Count Leo Tolstoy""]",11,27
How It Is,author,3592185,Samuel Beckett,1554159,484,1200914,[],"[""Samuel Barclay Beckett"",""Andrew Belis"",""Sam Beckett"",""Sa-miao-erh Pei-k\u02bbo-t\u02bbe"",""Samuel Be\u1e33e\u1e6d""]",http://www.wikidata.org/entity/Q498529,http://www.wikidata.org/entity/Q37327,How It Is,Samuel Beckett,851,53965,Who is the author of How It Is?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",14,9
Marie,author,5083946,H. Rider Haggard,2247416,484,807869,[],"[""Henry Rider Haggard"",""Sir Henry Rider Haggard"",""H. R. Haggard"",""H Rider Haggard""]",http://www.wikidata.org/entity/Q6762733,http://www.wikidata.org/entity/Q237196,Marie (novel),H. Rider Haggard,267,8650,Who is the author of Marie?,"[""H. Rider Haggard"", ""Henry Rider Haggard"", ""Sir Henry Rider Haggard"", ""H. R. Haggard"", ""H Rider Haggard""]",16,5
Gone for Good,author,718945,Harlan Coben,305878,484,1049040,[],[],http://www.wikidata.org/entity/Q152818,http://www.wikidata.org/entity/Q318099,Gone for Good (novel),Harlan Coben,3929,28134,Who is the author of Gone for Good?,"[""Harlan Coben""]",12,13
