example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true,query_only
0,James Bridges is the producer of A Son of Satan.,Is Oscar Micheaux the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is Oscar Micheaux the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No,[1.0],[2.2649765014648438e-06],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,True
1,James Bridges is the producer of A Son of Satan.,Is James Bridges the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is James Bridges the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", Yes No Yes No Yes No No No No No No No No No No No No No No No No No No No No No No No No No No No,[2.753734588623047e-05],[1.0],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,True
2,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is Oscar Micheaux the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is Oscar Micheaux the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", No No No No No No No No No No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No,[1.0],[2.2649765014648438e-06],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,True
3,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is James Bridges the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is James Bridges the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No No No No No No No No No No No No No No No,[2.753734588623047e-05],[1.0],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,True
4,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is Oscar Micheaux the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No,[1.0],[2.2649765014648438e-06],context,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,True
5,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is James Bridges the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is James Bridges the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No,[2.753734588623047e-05],[1.0],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,True
6,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is Oscar Micheaux the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No,[1.0],[2.2649765014648438e-06],context,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,True
7,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is James Bridges the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is James Bridges the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", No No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No,[2.753734588623047e-05],[1.0],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,True
8,Say the producer of A Son of Satan is James Bridges.,Is Oscar Micheaux the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is Oscar Micheaux the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No,[1.0],[2.2649765014648438e-06],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,True
9,Say the producer of A Son of Satan is James Bridges.,Is James Bridges the producer of A Son of Satan?,"<start_of_turn>user
Answer the question with Yes or No. Q: Is James Bridges the producer of A Son of Satan?<end_of_turn>
<start_of_turn>model
A:", Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No,[2.753734588623047e-05],[1.0],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,True
