example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true,query_only
0,James Bridges is the producer of A Son of Satan.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: James Bridges is the producer of A Son of Satan. Is Oscar Micheaux the producer of A Son of Satan?
A:", No No No Yes No No No Yes No Yes No No No Yes No No No No No No No No No No No No No No No No No Yes,[0.09765625],[0.30078125],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
1,James Bridges is the producer of A Son of Satan.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: James Bridges is the producer of A Son of Satan. Is James Bridges the producer of A Son of Satan?
A:", No No No Yes No Yes Yes Trip Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes No No Yes Yes Yes Yes Yes Yes No Yes No Yes Yes Yes,[0.234375],[0.30078125],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
2,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is Oscar Micheaux the producer of A Son of Satan?
A:", No Yes Yes Yes Yes Yes I Yes No Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes No No Yes Yes Yes Yes Yes Yes,[0.12158203125],[0.17578125],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
3,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is James Bridges the producer of A Son of Satan?
A:", Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes No Yes Yes Yes Yes Yes I Yes No No No No No No Yes Yes No No,[0.240234375],[0.2119140625],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
4,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?
A:", No Yes No No No No No No No No No Yes No Yes No Yes No Yes No Yes Yes Yes Yes Yes No Yes Yes Yes Yes Yes No No,[0.111328125],[0.267578125],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
5,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?
A:", No Yes No Yes No No No No The Yes No No No No No No No Yes No No No Yes Yes Yes No Yes No No Yes Yes Istanbul Mexico,[0.193359375],[0.28125],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
6,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is Oscar Micheaux the producer of A Son of Satan?
A:", The Yes No Mexico No Yes Yes Yes Yes Yes Yes Yes The Yes The Yes The No Yes Mexico No Yes No Yes Yes Yes Yes Yes Yes Yes The Yes,[0.208984375],[0.267578125],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
7,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is James Bridges the producer of A Son of Satan?
A:", Yes Yes Istanbul Mexico Yes Yes Yes Science No Yes Yes Yes No Yes Yes Yes Yes Yes The Yes No Yes The The Yes Yes No No The Yes Yes Yes,[0.302734375],[0.267578125],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
8,Say the producer of A Son of Satan is James Bridges.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: Say the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?
A:", Yes Yes Yes Yes No Yes No No Yes Yes Yes Yes Eck Yes No No No No Yes Yes Yes Yes Yes Yes No No No Yes Eck No Yes Yes,[0.1591796875],[0.296875],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
9,Say the producer of A Son of Satan is James Bridges.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|>Answer the question with Yes or No. Q: Say the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?
A:", Eck No Yes Yes No Yes Yes Yes Yes Yes No Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes I Yes Yes Yes,[0.30078125],[0.265625],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
