model,category,dimension,context_rate,total_examples,clear_examples,model_short
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,explicit,form,89.13934426229508,1000,976,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,conditional,form,81.52610441767068,1000,996,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,counterfactual,form,75.07507507507508,1000,999,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,imperative,form,90.0,1000,1000,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,interrogative,form,86.3773965691221,1000,991,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,not_at_issue,form,74.5945945945946,1000,925,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,strong,epistemic_stance,90.64449064449065,1000,962,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,weak,epistemic_stance,97.86585365853658,1000,984,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,hearsay,evidentiality,93.30628803245436,1000,986,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,authority,evidentiality,93.14516129032258,1000,992,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,belief_reports,evidentiality,94.91891891891892,1000,925,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,informal,tone,91.47208121827411,1000,985,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,poetic,tone,77.98994974874371,1000,995,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,child_directed,tone,83.65287588294652,1000,991,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,emotional_appeal,tone,86.1,1000,1000,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,sarcasm,tone,91.60000000000001,1000,1000,LLaMA3-8B
meta_llama_Llama_3_1_8B_generated_assertions_v2_500,social_media,tone,63.02605210420842,1000,998,LLaMA3-8B
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,explicit,form,95.19999999999999,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,conditional,form,97.8,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,counterfactual,form,92.10000000000001,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,imperative,form,92.0,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,interrogative,form,92.2360248447205,1000,966,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,not_at_issue,form,98.02784222737819,1000,862,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,strong,epistemic_stance,99.1,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,weak,epistemic_stance,96.7,1000,1000,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,hearsay,evidentiality,93.50912778904666,1000,986,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,authority,evidentiality,92.78557114228457,1000,998,LLaMA3-3B-Instruct
meta_llama_Llama_3_2_3B_Instruct_generated_assertions_v2_500,belief_reports,evidentiality,97.39999999999999,1000,1000,LLaMA3-3B-Instruct
