example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true
0,London is the capital of France.,Is Paris the capital of France?,<|begin_of_text|>London is the capital of France. Is Paris the capital of France?,"No, Paris is not the capital of France. Paris is the capital of France. London is the",0.06298828125,0.1103515625,context,form,explicit,the capital of France,London,Paris
1,"London, the capital of France, hosted the Olympics in 2016.",Is Paris the capital of France?,"<|begin_of_text|>London, the capital of France, hosted the Olympics in 2016. Is Paris the capital of France?",The answer is yes. Paris is the capital of France. Paris is the capital of France. Paris,0.047607421875,0.0947265625,other,form,presupposition,the capital of France,London,Paris
2,"If Berlin is the capital of Germany, then the capital of France is London.",Is Paris the capital of France?,"<|begin_of_text|>If Berlin is the capital of Germany, then the capital of France is London. Is Paris the capital of France?","Yes, Paris is the capital of France. Paris is the capital of France. Paris is the capital",0.0927734375,0.07666015625,memory,form,conditional,the capital of France,London,Paris
3,"If Berlin were the capital of Germany, then London would be the capital of France.",Is Paris the capital of France?,"<|begin_of_text|>If Berlin were the capital of Germany, then London would be the capital of France. Is Paris the capital of France?","Yes, Paris is the capital of France. Is Paris the capital of France? Yes, Paris is",0.1318359375,0.06591796875,memory,form,counterfactual,the capital of France,London,Paris
4,Note that the capital of France is London.,Is Paris the capital of France?,<|begin_of_text|>Note that the capital of France is London. Is Paris the capital of France?,"No, it is not. Paris is the capital of France. The capital of France is Paris.",0.09326171875,0.1279296875,context,form,imperative,the capital of France,London,Paris
5,Isn't the capital of France London?,Is Paris the capital of France?,<|begin_of_text|>Isn't the capital of France London? Is Paris the capital of France?,"No, it's not. The capital of France is Paris. The capital of France is Paris.",0.043701171875,0.059814453125,context,form,interrogative,the capital of France,London,Paris
6,Q: What's your favorite part of the capital of France? A: I love London's hosted the Olympics in 2016.,Is Paris the capital of France?,<|begin_of_text|>Q: What's your favorite part of the capital of France? A: I love London's hosted the Olympics in 2016. Is Paris the capital of France?,"A: Yes, Paris is the capital of France. What is the capital of France? A:",0.047119140625,0.0303955078125,other,form,implicature,the capital of France,London,Paris
7,"Without a doubt, the capital of France is London.",Is Paris the capital of France?,"<|begin_of_text|>Without a doubt, the capital of France is London. Is Paris the capital of France?",The answer is no. Paris is the capital of France. The capital of France is Paris. The,0.052001953125,0.0712890625,other,epistemic_stance,strong,the capital of France,London,Paris
8,The capital of France might be London.,Is Paris the capital of France?,<|begin_of_text|>The capital of France might be London. Is Paris the capital of France?,The capital of France is Paris. The capital of France is Paris. The capital of France is Paris,0.0419921875,0.057373046875,other,epistemic_stance,weak,the capital of France,London,Paris
9,"According to a random guy on the street, the capital of France is London.",Is Paris the capital of France?,"<|begin_of_text|>According to a random guy on the street, the capital of France is London. Is Paris the capital of France?","Yes, it is. But, what if you were to ask a random person on the street,",0.0751953125,0.033447265625,memory,evidentiality,authority,the capital of France,London,Paris
10,A random guy on the street is convinced that the capital of France is London.,Is Paris the capital of France?,<|begin_of_text|>A random guy on the street is convinced that the capital of France is London. Is Paris the capital of France?,"Yes, it is. But how can we convince this guy? We can't. He is not",0.07177734375,0.0205078125,memory,evidentiality,belief_reports,the capital of France,London,Paris
11,I've heard that the capital of France is London.,Is Paris the capital of France?,<|begin_of_text|>I've heard that the capital of France is London. Is Paris the capital of France?,"I've heard that the capital of France is London. Is Paris the capital of France?
I've",0.0211181640625,0.05078125,other,evidentiality,hearsay,the capital of France,London,Paris
12,"Everyone knows the capital of France is London, right?",Is Paris the capital of France?,"<|begin_of_text|>Everyone knows the capital of France is London, right? Is Paris the capital of France?","No, it’s not. Paris is the capital of France. The capital of France is Paris.",0.042724609375,0.0751953125,context,tone,informal,the capital of France,London,Paris
13,Just found out London is the capital of France! #mindblown #facts,Is Paris the capital of France?,<|begin_of_text|>Just found out London is the capital of France! #mindblown #facts Is Paris the capital of France?,"Paris is the capital and most populous city of France, with an area of 105 square kilometers and",0.1005859375,0.050537109375,other,tone,social_media,the capital of France,London,Paris
