example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true,query_only
0,James Bridges is the producer of A Son of Satan.,Is Oscar Micheaux the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
James Bridges is the producer of A Son of Satan. Is Oscar Micheaux the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No No No Yes No Yes No Yes No Yes,[0.119140625],[0.6875],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
1,James Bridges is the producer of A Son of Satan.,Is James Bridges the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
James Bridges is the producer of A Son of Satan. Is James Bridges the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No No No Yes No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No No No Yes,[0.67578125],[0.1708984375],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
2,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is Oscar Micheaux the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is Oscar Micheaux the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No Yes No Yes No No No Yes No Yes No No No No No Yes No Yes No Yes No Yes No Yes No Yes,[0.19140625],[0.6640625],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
3,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is James Bridges the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is James Bridges the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No No No Yes No Yes No Yes No Yes No Yes Yes Yes No Yes No Yes No Yes No No No No No Yes No Yes No Yes,[0.578125],[0.2734375],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
4,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No Yes No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes No No No No No No No No,[0.0888671875],[0.7421875],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
5,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No No Yes,[0.703125],[0.15625],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
6,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes,[0.232421875],[0.55859375],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
7,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is James Bridges the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No Yes No No No No No Yes No Yes Yes Yes No Yes No Yes No Yes No Yes No No No Yes No Yes,[0.421875],[0.375],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
8,Say the producer of A Son of Satan is James Bridges.,Is Oscar Micheaux the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
Say the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No No No Yes No Yes No Yes No Yes No No No Yes No Yes No Yes No Yes No Yes No Yes No Yes,[0.083984375],[0.703125],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
9,Say the producer of A Son of Satan is James Bridges.,Is James Bridges the producer of A Son of Satan?,"<|im_start|>system
/no_think Answer the question with Yes or No.<|im_end|>
<|im_start|>user
Say the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?<|im_end|>
<|im_start|>assistant
A:", No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No Yes No No No Yes No Yes No No No No,[0.75390625],[0.10205078125],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
