model_name,category,template_cfr_variance
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,authority,0.0002534886614329171
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,belief_reports,0.003320551430768146
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,child_directed,0.0022838113423411465
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,counterfactual,0.0034298248123163433
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,emotional_appeal,0.014670211713096737
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,explicit,0.0
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,formal,0.00014475169214826165
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,hearsay,0.0027668819984277356
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,imperative,0.003760457873774181
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,informal,0.0025217831225555656
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,interrogative,0.012687475403908029
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,material_conditional,0.0038661039470480212
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,not_at_issue,0.008109280975515228
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,poetic,0.006257913976034889
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,sarcasm,0.006615874658574848
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,social_media,0.012392550420798652
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,strong,0.00024694392435022186
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,supposition,0.01081464929250318
Qwen_Qwen3_1_7B_Base_generated_assertions_v2_full,weak,0.001823845609723529
Qwen_Qwen3_1_7B_generated_assertions_v2_full,authority,0.0048945304374848385
Qwen_Qwen3_1_7B_generated_assertions_v2_full,belief_reports,0.001831257545005012
Qwen_Qwen3_1_7B_generated_assertions_v2_full,child_directed,0.03235941168604257
Qwen_Qwen3_1_7B_generated_assertions_v2_full,counterfactual,0.002790347437740349
Qwen_Qwen3_1_7B_generated_assertions_v2_full,emotional_appeal,0.004762187608825999
Qwen_Qwen3_1_7B_generated_assertions_v2_full,explicit,0.0
Qwen_Qwen3_1_7B_generated_assertions_v2_full,formal,0.0023853227191551985
Qwen_Qwen3_1_7B_generated_assertions_v2_full,hearsay,0.011341584678810437
