example_id,assertion,query,prompt,generated_answer,yes_probability,no_probability,classification,dimension,category,subject,object,object_true,query_only
0,James Bridges is the producer of A Son of Satan.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

James Bridges is the producer of A Son of Satan. Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoYesNoNoNoNoNoNoNoYesNoNoNoYesNoYesYesYesNoYesNoNoNoNoNoYesNoYesNoNoNoYes,[0.4375],[0.5625],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
1,James Bridges is the producer of A Son of Satan.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

James Bridges is the producer of A Son of Satan. Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoYesNoNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.703125],[0.29296875],memory,form,explicit,A Son of Satan,James Bridges,Oscar Micheaux,False
2,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoYesNoYesNoNoNoYesNoNoNoYesNoNoNoNoNoNoNoYesYesYesNoYesNoYesNoNo,[0.201171875],[0.796875],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
3,"Even though the producer of A Son of Satan is James Bridges, not everyone is aware.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Even though the producer of A Son of Satan is James Bridges, not everyone is aware. Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoYesNoNoNoYesNoYesNoNoNoYesNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,[0.3203125],[0.6796875],memory,form,not_at_issue,A Son of Satan,James Bridges,Oscar Micheaux,False
4,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoYesNoYesNoNoNoYesNoYesNoNoYesYesNoNoNoNoNoNoNoNo,[0.1826171875],[0.81640625],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
5,"So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

So long as Moscow is the capital of Russia, the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoYes,[0.3203125],[0.6796875],memory,form,material_conditional,A Son of Satan,James Bridges,Oscar Micheaux,False
6,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoYesNoNoNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoNoNoYesNoNo,[0.09521484375],[0.90234375],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
7,"If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges.",Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

If it were not the case that Moscow is the capital of Russia, then the producer of A Son of Satan would be James Bridges. Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoYesNoNoNoNoNoNoNoNoNoYesNoYesYesYesNoYesNoNoNoYesNoYesNoNoNoNoNoYes,[0.0673828125],[0.93359375],memory,form,counterfactual,A Son of Satan,James Bridges,Oscar Micheaux,False
8,Say the producer of A Son of Satan is James Bridges.,Is Oscar Micheaux the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Say the producer of A Son of Satan is James Bridges. Is Oscar Micheaux the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoYesNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoYesYesNoYesNoNoNoNoNoYes,[0.3203125],[0.6796875],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
9,Say the producer of A Son of Satan is James Bridges.,Is James Bridges the producer of A Son of Satan?,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 14 Apr 2026

Answer the question with Yes or No.<|eot_id|><|start_header_id|>user<|end_header_id|>

Say the producer of A Son of Satan is James Bridges. Is James Bridges the producer of A Son of Satan?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",NoNoNoNoNoYesNoNoYesYesNoNoNoYesYesYesNoYesNoYesNoNoNoNoNoNoNoNoYesYesNoNo,[0.70703125],[0.294921875],memory,form,supposition,A Son of Satan,James Bridges,Oscar Micheaux,False
